TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_200940/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_200940/tensorboard
Number of classes: 657
Train batches: 3944
Val batches: 695

===== Epoch 1/100 (LR: 2.00e-06) =====
WS-DAN Active: False (start_epoch=5)
  Train Batch [25/3944] | Loss: 6.4876 | Top1: 0.0000 | Top5: 0.0086
  Train Batch [2225/3944] | Loss: 6.4788 | Top1: 0.0420 | Top5: 0.1121
  Train Batch [2250/3944] | Loss: 6.4787 | Top1: 0.0432 | Top5: 0.1146
  Train Batch [2275/3944] | Loss: 6.4786 | Top1: 0.0441 | Top5: 0.1171
  Train Batch [2300/3944] | Loss: 6.4785 | Top1: 0.0450 | Top5: 0.1195
  Train Batch [2325/3944] | Loss: 6.4783 | Top1: 0.0459 | Top5: 0.1219
  Train Batch [2350/3944] | Loss: 6.4782 | Top1: 0.0467 | Top5: 0.1239
  Train Batch [2375/3944] | Loss: 6.4781 | Top1: 0.0476 | Top5: 0.1262
  Train Batch [2400/3944] | Loss: 6.4780 | Top1: 0.0484 | Top5: 0.1283
  Train Batch [2425/3944] | Loss: 6.4779 | Top1: 0.0493 | Top5: 0.1305
  Train Batch [2450/3944] | Loss: 6.4777 | Top1: 0.0504 | Top5: 0.1331
  Train Batch [2475/3944] | Loss: 6.4776 | Top1: 0.0516 | Top5: 0.1353
  Train Batch [2500/3944] | Loss: 6.4775 | Top1: 0.0525 | Top5: 0.1374
  Train Batch [2525/3944] | Loss: 6.4774 | Top1: 0.0533 | Top5: 0.1398
  Train Batch [2550/3944] | Loss: 6.4773 | Top1: 0.0546 | Top5: 0.1425
  Train Batch [2575/3944] | Loss: 6.4771 | Top1: 0.0557 | Top5: 0.1451
  Train Batch [2600/3944] | Loss: 6.4770 | Top1: 0.0568 | Top5: 0.1470
  Train Batch [2625/3944] | Loss: 6.4769 | Top1: 0.0580 | Top5: 0.1495
  Train Batch [2650/3944] | Loss: 6.4768 | Top1: 0.0592 | Top5: 0.1518
  Train Batch [2675/3944] | Loss: 6.4766 | Top1: 0.0605 | Top5: 0.1541
  Train Batch [2700/3944] | Loss: 6.4765 | Top1: 0.0619 | Top5: 0.1567
  Train Batch [2725/3944] | Loss: 6.4764 | Top1: 0.0628 | Top5: 0.1587
  Train Batch [2750/3944] | Loss: 6.4763 | Top1: 0.0641 | Top5: 0.1614
  Train Batch [2775/3944] | Loss: 6.4762 | Top1: 0.0650 | Top5: 0.1634
  Train Batch [2800/3944] | Loss: 6.4760 | Top1: 0.0664 | Top5: 0.1660
  Train Batch [2825/3944] | Loss: 6.4759 | Top1: 0.0676 | Top5: 0.1682
  Train Batch [2850/3944] | Loss: 6.4758 | Top1: 0.0688 | Top5: 0.1712
  Train Batch [2875/3944] | Loss: 6.4756 | Top1: 0.0701 | Top5: 0.1736
  Train Batch [2900/3944] | Loss: 6.4755 | Top1: 0.0716 | Top5: 0.1761
  Train Batch [2925/3944] | Loss: 6.4754 | Top1: 0.0726 | Top5: 0.1784
  Train Batch [2950/3944] | Loss: 6.4752 | Top1: 0.0739 | Top5: 0.1813
  Train Batch [2975/3944] | Loss: 6.4751 | Top1: 0.0752 | Top5: 0.1841
  Train Batch [3000/3944] | Loss: 6.4750 | Top1: 0.0765 | Top5: 0.1866
  Train Batch [3025/3944] | Loss: 6.4748 | Top1: 0.0779 | Top5: 0.1894
  Train Batch [3050/3944] | Loss: 6.4747 | Top1: 0.0791 | Top5: 0.1919
  Train Batch [3075/3944] | Loss: 6.4746 | Top1: 0.0803 | Top5: 0.1942
  Train Batch [3100/3944] | Loss: 6.4744 | Top1: 0.0813 | Top5: 0.1961
  Train Batch [3125/3944] | Loss: 6.4743 | Top1: 0.0825 | Top5: 0.1984
  Train Batch [3150/3944] | Loss: 6.4742 | Top1: 0.0838 | Top5: 0.2007
  Train Batch [3175/3944] | Loss: 6.4740 | Top1: 0.0848 | Top5: 0.2029
  Train Batch [3200/3944] | Loss: 6.4739 | Top1: 0.0861 | Top5: 0.2054
  Train Batch [3225/3944] | Loss: 6.4738 | Top1: 0.0874 | Top5: 0.2079
  Train Batch [3250/3944] | Loss: 6.4736 | Top1: 0.0884 | Top5: 0.2102
  Train Batch [3275/3944] | Loss: 6.4735 | Top1: 0.0896 | Top5: 0.2125
  Train Batch [3300/3944] | Loss: 6.4734 | Top1: 0.0906 | Top5: 0.2147
  Train Batch [3325/3944] | Loss: 6.4732 | Top1: 0.0917 | Top5: 0.2172
  Train Batch [3350/3944] | Loss: 6.4731 | Top1: 0.0927 | Top5: 0.2195
  Train Batch [3375/3944] | Loss: 6.4730 | Top1: 0.0936 | Top5: 0.2215
  Train Batch [3400/3944] | Loss: 6.4728 | Top1: 0.0947 | Top5: 0.2238
  Train Batch [3425/3944] | Loss: 6.4727 | Top1: 0.0960 | Top5: 0.2259
  Train Batch [3450/3944] | Loss: 6.4726 | Top1: 0.0969 | Top5: 0.2280
  Train Batch [3475/3944] | Loss: 6.4724 | Top1: 0.0982 | Top5: 0.2303
  Train Batch [3500/3944] | Loss: 6.4723 | Top1: 0.0991 | Top5: 0.2322
  Train Batch [3525/3944] | Loss: 6.4722 | Top1: 0.1001 | Top5: 0.2343
  Train Batch [3550/3944] | Loss: 6.4720 | Top1: 0.1013 | Top5: 0.2367
  Train Batch [3575/3944] | Loss: 6.4719 | Top1: 0.1024 | Top5: 0.2388
  Train Batch [3600/3944] | Loss: 6.4717 | Top1: 0.1035 | Top5: 0.2408
  Train Batch [3625/3944] | Loss: 6.4716 | Top1: 0.1044 | Top5: 0.2432
  Train Batch [3650/3944] | Loss: 6.4715 | Top1: 0.1054 | Top5: 0.2453
  Train Batch [3675/3944] | Loss: 6.4713 | Top1: 0.1064 | Top5: 0.2474
  Train Batch [3700/3944] | Loss: 6.4712 | Top1: 0.1070 | Top5: 0.2490
  Train Batch [3725/3944] | Loss: 6.4711 | Top1: 0.1076 | Top5: 0.2508
  Train Batch [3750/3944] | Loss: 6.4710 | Top1: 0.1086 | Top5: 0.2527
  Train Batch [3775/3944] | Loss: 6.4708 | Top1: 0.1097 | Top5: 0.2546
  Train Batch [3800/3944] | Loss: 6.4707 | Top1: 0.1105 | Top5: 0.2566
  Train Batch [3825/3944] | Loss: 6.4705 | Top1: 0.1114 | Top5: 0.2583
  Train Batch [3850/3944] | Loss: 6.4704 | Top1: 0.1124 | Top5: 0.2604
  Train Batch [3875/3944] | Loss: 6.4703 | Top1: 0.1133 | Top5: 0.2624
  Train Batch [3900/3944] | Loss: 6.4701 | Top1: 0.1140 | Top5: 0.2643
  Train Batch [3925/3944] | Loss: 6.4700 | Top1: 0.1151 | Top5: 0.2662
  Train Batch [3944/3944] | Loss: 6.4699 | Top1: 0.1159 | Top5: 0.2676
  Train Epoch Time: 467.324s
  Skipping validation on epoch 1; val_interval=2
Epoch [1/100] | Train Loss: 6.4699 | Train Top1: 0.1159 | Train Top5: 0.2676 | Val Loss: nan | Val Top1: nan | Val Top5: nan | LR: 2.00e-06 | Train Time: 467.324s | Val Time: 0.000s | Epoch Time: 467.324s

===== Epoch 2/100 (LR: 1.01e-04) =====
WS-DAN Active: False (start_epoch=5)
  Train Batch [25/3944] | Loss: 6.4431 | Top1: 0.1886 | Top5: 0.4400
  Train Batch [50/3944] | Loss: 6.4356 | Top1: 0.1757 | Top5: 0.4429
  Train Batch [75/3944] | Loss: 6.4301 | Top1: 0.1648 | Top5: 0.4190
  Train Batch [100/3944] | Loss: 6.4211 | Top1: 0.1707 | Top5: 0.4207
  Train Batch [125/3944] | Loss: 6.4134 | Top1: 0.1623 | Top5: 0.4223
  Train Batch [150/3944] | Loss: 6.4056 | Top1: 0.1633 | Top5: 0.4167
  Train Batch [175/3944] | Loss: 6.3971 | Top1: 0.1629 | Top5: 0.4167
  Train Batch [200/3944] | Loss: 6.3890 | Top1: 0.1614 | Top5: 0.4168
  Train Batch [225/3944] | Loss: 6.3816 | Top1: 0.1632 | Top5: 0.4133
  Train Batch [250/3944] | Loss: 6.3732 | Top1: 0.1626 | Top5: 0.4146
  Train Batch [275/3944] | Loss: 6.3643 | Top1: 0.1626 | Top5: 0.4145
  Train Batch [300/3944] | Loss: 6.3551 | Top1: 0.1643 | Top5: 0.4131
  Train Batch [325/3944] | Loss: 6.3476 | Top1: 0.1642 | Top5: 0.4090
  Train Batch [350/3944] | Loss: 6.3396 | Top1: 0.1618 | Top5: 0.4061
  Train Batch [375/3944] | Loss: 6.3314 | Top1: 0.1613 | Top5: 0.4034
  Train Batch [400/3944] | Loss: 6.3231 | Top1: 0.1620 | Top5: 0.4023
  Train Batch [425/3944] | Loss: 6.3150 | Top1: 0.1618 | Top5: 0.4017
  Train Batch [450/3944] | Loss: 6.3068 | Top1: 0.1613 | Top5: 0.4013
  Train Batch [475/3944] | Loss: 6.2984 | Top1: 0.1618 | Top5: 0.4015
  Train Batch [500/3944] | Loss: 6.2898 | Top1: 0.1637 | Top5: 0.4037
  Train Batch [525/3944] | Loss: 6.2811 | Top1: 0.1649 | Top5: 0.4056
  Train Batch [550/3944] | Loss: 6.2726 | Top1: 0.1649 | Top5: 0.4057
  Train Batch [575/3944] | Loss: 6.2645 | Top1: 0.1648 | Top5: 0.4072
  Train Batch [600/3944] | Loss: 6.2561 | Top1: 0.1650 | Top5: 0.4074
  Train Batch [625/3944] | Loss: 6.2479 | Top1: 0.1645 | Top5: 0.4070
  Train Batch [650/3944] | Loss: 6.2401 | Top1: 0.1635 | Top5: 0.4076
  Train Batch [675/3944] | Loss: 6.2322 | Top1: 0.1635 | Top5: 0.4087
  Train Batch [700/3944] | Loss: 6.2236 | Top1: 0.1641 | Top5: 0.4094
  Train Batch [725/3944] | Loss: 6.2151 | Top1: 0.1646 | Top5: 0.4107
  Train Batch [750/3944] | Loss: 6.2058 | Top1: 0.1657 | Top5: 0.4130
  Train Batch [775/3944] | Loss: 6.1974 | Top1: 0.1661 | Top5: 0.4126
  Train Batch [800/3944] | Loss: 6.1886 | Top1: 0.1666 | Top5: 0.4138
  Train Batch [825/3944] | Loss: 6.1802 | Top1: 0.1668 | Top5: 0.4139
  Train Batch [850/3944] | Loss: 6.1716 | Top1: 0.1661 | Top5: 0.4146
  Train Batch [875/3944] | Loss: 6.1638 | Top1: 0.1656 | Top5: 0.4145
  Train Batch [900/3944] | Loss: 6.1556 | Top1: 0.1644 | Top5: 0.4148
  Train Batch [925/3944] | Loss: 6.1478 | Top1: 0.1639 | Top5: 0.4144
  Train Batch [950/3944] | Loss: 6.1388 | Top1: 0.1652 | Top5: 0.4155
  Train Batch [975/3944] | Loss: 6.1303 | Top1: 0.1660 | Top5: 0.4178
  Train Batch [1000/3944] | Loss: 6.1222 | Top1: 0.1666 | Top5: 0.4185
  Train Batch [1025/3944] | Loss: 6.1139 | Top1: 0.1662 | Top5: 0.4190
  Train Batch [1050/3944] | Loss: 6.1059 | Top1: 0.1663 | Top5: 0.4207
  Train Batch [1075/3944] | Loss: 6.0980 | Top1: 0.1664 | Top5: 0.4211
  Train Batch [1100/3944] | Loss: 6.0900 | Top1: 0.1669 | Top5: 0.4217
  Train Batch [1125/3944] | Loss: 6.0813 | Top1: 0.1677 | Top5: 0.4233
  Train Batch [1150/3944] | Loss: 6.0729 | Top1: 0.1683 | Top5: 0.4245
  Train Batch [1175/3944] | Loss: 6.0645 | Top1: 0.1693 | Top5: 0.4253
  Train Batch [1200/3944] | Loss: 6.0564 | Top1: 0.1692 | Top5: 0.4263
  Train Batch [1225/3944] | Loss: 6.0484 | Top1: 0.1697 | Top5: 0.4274
  Train Batch [1250/3944] | Loss: 6.0402 | Top1: 0.1690 | Top5: 0.4272
  Train Batch [1275/3944] | Loss: 6.0326 | Top1: 0.1689 | Top5: 0.4277
  Train Batch [1300/3944] | Loss: 6.0246 | Top1: 0.1691 | Top5: 0.4288
  Train Batch [1325/3944] | Loss: 6.0170 | Top1: 0.1692 | Top5: 0.4294
  Train Batch [1350/3944] | Loss: 6.0086 | Top1: 0.1695 | Top5: 0.4304
  Train Batch [1375/3944] | Loss: 6.0005 | Top1: 0.1710 | Top5: 0.4306
  Train Batch [1400/3944] | Loss: 5.9926 | Top1: 0.1713 | Top5: 0.4309
  Train Batch [1425/3944] | Loss: 5.9850 | Top1: 0.1711 | Top5: 0.4312
  Train Batch [1450/3944] | Loss: 5.9771 | Top1: 0.1711 | Top5: 0.4326
  Train Batch [1475/3944] | Loss: 5.9696 | Top1: 0.1710 | Top5: 0.4330
  Train Batch [1500/3944] | Loss: 5.9617 | Top1: 0.1710 | Top5: 0.4341
  Train Batch [1525/3944] | Loss: 5.9537 | Top1: 0.1713 | Top5: 0.4345
  Train Batch [1550/3944] | Loss: 5.9461 | Top1: 0.1715 | Top5: 0.4350
  Train Batch [1575/3944] | Loss: 5.9383 | Top1: 0.1716 | Top5: 0.4360
  Train Batch [1600/3944] | Loss: 5.9302 | Top1: 0.1718 | Top5: 0.4372
  Train Batch [1625/3944] | Loss: 5.9221 | Top1: 0.1727 | Top5: 0.4384
  Train Batch [1650/3944] | Loss: 5.9141 | Top1: 0.1729 | Top5: 0.4397
  Train Batch [1675/3944] | Loss: 5.9064 | Top1: 0.1727 | Top5: 0.4409
  Train Batch [1700/3944] | Loss: 5.8986 | Top1: 0.1725 | Top5: 0.4417
  Train Batch [1725/3944] | Loss: 5.8904 | Top1: 0.1736 | Top5: 0.4429
  Train Batch [1750/3944] | Loss: 5.8823 | Top1: 0.1741 | Top5: 0.4442
  Train Batch [1775/3944] | Loss: 5.8748 | Top1: 0.1741 | Top5: 0.4448
  Train Batch [1800/3944] | Loss: 5.8669 | Top1: 0.1746 | Top5: 0.4456
  Train Batch [1825/3944] | Loss: 5.8591 | Top1: 0.1750 | Top5: 0.4468
  Train Batch [1850/3944] | Loss: 5.8512 | Top1: 0.1754 | Top5: 0.4476
  Train Batch [1875/3944] | Loss: 5.8431 | Top1: 0.1752 | Top5: 0.4491
  Train Batch [1900/3944] | Loss: 5.8357 | Top1: 0.1757 | Top5: 0.4503
  Train Batch [1925/3944] | Loss: 5.8280 | Top1: 0.1760 | Top5: 0.4513
  Train Batch [1950/3944] | Loss: 5.8201 | Top1: 0.1762 | Top5: 0.4521
  Train Batch [1975/3944] | Loss: 5.8123 | Top1: 0.1766 | Top5: 0.4532
  Train Batch [2000/3944] | Loss: 5.8041 | Top1: 0.1770 | Top5: 0.4546
  Train Batch [2025/3944] | Loss: 5.7963 | Top1: 0.1776 | Top5: 0.4559
  Train Batch [2050/3944] | Loss: 5.7889 | Top1: 0.1781 | Top5: 0.4571
  Train Batch [2075/3944] | Loss: 5.7810 | Top1: 0.1784 | Top5: 0.4583
  Train Batch [2100/3944] | Loss: 5.7735 | Top1: 0.1786 | Top5: 0.4597
  Train Batch [2125/3944] | Loss: 5.7659 | Top1: 0.1794 | Top5: 0.4609
  Train Batch [2150/3944] | Loss: 5.7582 | Top1: 0.1795 | Top5: 0.4624
  Train Batch [2175/3944] | Loss: 5.7505 | Top1: 0.1798 | Top5: 0.4638
  Train Batch [2200/3944] | Loss: 5.7433 | Top1: 0.1802 | Top5: 0.4647
  Train Batch [2225/3944] | Loss: 5.7361 | Top1: 0.1807 | Top5: 0.4656
  Train Batch [2250/3944] | Loss: 5.7287 | Top1: 0.1811 | Top5: 0.4663
  Train Batch [2275/3944] | Loss: 5.7210 | Top1: 0.1816 | Top5: 0.4669
  Train Batch [2300/3944] | Loss: 5.7137 | Top1: 0.1823 | Top5: 0.4681
  Train Batch [2325/3944] | Loss: 5.7064 | Top1: 0.1824 | Top5: 0.4689
  Train Batch [2350/3944] | Loss: 5.6987 | Top1: 0.1828 | Top5: 0.4702
  Train Batch [2375/3944] | Loss: 5.6914 | Top1: 0.1830 | Top5: 0.4711
  Train Batch [2400/3944] | Loss: 5.6840 | Top1: 0.1831 | Top5: 0.4717
  Train Batch [2425/3944] | Loss: 5.6763 | Top1: 0.1836 | Top5: 0.4729
  Train Batch [2450/3944] | Loss: 5.6692 | Top1: 0.1839 | Top5: 0.4741
  Train Batch [2475/3944] | Loss: 5.6618 | Top1: 0.1844 | Top5: 0.4750
  Train Batch [2500/3944] | Loss: 5.6549 | Top1: 0.1845 | Top5: 0.4759
  Train Batch [2525/3944] | Loss: 5.6472 | Top1: 0.1850 | Top5: 0.4771
  Train Batch [2550/3944] | Loss: 5.6402 | Top1: 0.1854 | Top5: 0.4780
  Train Batch [2575/3944] | Loss: 5.6331 | Top1: 0.1860 | Top5: 0.4791
  Train Batch [2600/3944] | Loss: 5.6263 | Top1: 0.1865 | Top5: 0.4801
  Train Batch [2625/3944] | Loss: 5.6192 | Top1: 0.1870 | Top5: 0.4810
  Train Batch [2650/3944] | Loss: 5.6125 | Top1: 0.1879 | Top5: 0.4819
  Train Batch [2675/3944] | Loss: 5.6053 | Top1: 0.1887 | Top5: 0.4832
  Train Batch [2700/3944] | Loss: 5.5983 | Top1: 0.1889 | Top5: 0.4840
  Train Batch [2725/3944] | Loss: 5.5912 | Top1: 0.1893 | Top5: 0.4852
  Train Batch [2750/3944] | Loss: 5.5839 | Top1: 0.1902 | Top5: 0.4865
  Train Batch [2775/3944] | Loss: 5.5771 | Top1: 0.1907 | Top5: 0.4870
  Train Batch [2800/3944] | Loss: 5.5699 | Top1: 0.1908 | Top5: 0.4880
  Train Batch [2825/3944] | Loss: 5.5626 | Top1: 0.1913 | Top5: 0.4892
  Train Batch [2850/3944] | Loss: 5.5558 | Top1: 0.1916 | Top5: 0.4900
  Train Batch [2875/3944] | Loss: 5.5490 | Top1: 0.1918 | Top5: 0.4907
  Train Batch [2900/3944] | Loss: 5.5419 | Top1: 0.1925 | Top5: 0.4919
  Train Batch [2925/3944] | Loss: 5.5347 | Top1: 0.1930 | Top5: 0.4928
  Train Batch [2950/3944] | Loss: 5.5277 | Top1: 0.1933 | Top5: 0.4940
  Train Batch [2975/3944] | Loss: 5.5213 | Top1: 0.1938 | Top5: 0.4945
  Train Batch [3000/3944] | Loss: 5.5143 | Top1: 0.1943 | Top5: 0.4953
  Train Batch [3025/3944] | Loss: 5.5070 | Top1: 0.1950 | Top5: 0.4964
  Train Batch [3050/3944] | Loss: 5.5002 | Top1: 0.1955 | Top5: 0.4978
  Train Batch [3075/3944] | Loss: 5.4928 | Top1: 0.1960 | Top5: 0.4991
  Train Batch [3100/3944] | Loss: 5.4858 | Top1: 0.1964 | Top5: 0.5000
  Train Batch [3125/3944] | Loss: 5.4792 | Top1: 0.1968 | Top5: 0.5008
  Train Batch [3150/3944] | Loss: 5.4722 | Top1: 0.1976 | Top5: 0.5019
  Train Batch [3175/3944] | Loss: 5.4649 | Top1: 0.1979 | Top5: 0.5029
  Train Batch [3200/3944] | Loss: 5.4579 | Top1: 0.1981 | Top5: 0.5042
  Train Batch [3225/3944] | Loss: 5.4511 | Top1: 0.1985 | Top5: 0.5052
  Train Batch [3250/3944] | Loss: 5.4443 | Top1: 0.1991 | Top5: 0.5061
  Train Batch [3275/3944] | Loss: 5.4373 | Top1: 0.1998 | Top5: 0.5071
  Train Batch [3300/3944] | Loss: 5.4303 | Top1: 0.2001 | Top5: 0.5082
  Train Batch [3325/3944] | Loss: 5.4241 | Top1: 0.2006 | Top5: 0.5088
  Train Batch [3350/3944] | Loss: 5.4177 | Top1: 0.2012 | Top5: 0.5099
